Hour,Price,Uni Value,Debt Value,Net PnL
149,2926.813324271556,9910.00935002624,4878.02220711926,31.98714290697899
150,2928.279983252523,9912.772282828497,4880.466638754205,32.305644074292104
151,2930.3096810706993,9916.50517128485,4883.849468451166,32.6557028336847
152,2926.327023939893,9909.853465863318,4877.211706566489,32.64175929682915
153,2927.686640232181,9912.4320462568,4879.477733720302,32.95431253649713
154,2929.4031919864965,9915.625353002244,4882.338653310828,33.28669969141629
155,2925.2209336517344,9908.625199956123,4875.368222752891,33.256977203232054
156,2936.1569303808187,9927.72301066762,4893.594883968031,34.12812669958839
157,2938.940744864584,9932.738191315226,4898.234574774307,34.50361654091921
158,2931.946739381558,9920.927380658386,4886.5778989692635,34.34948168912251
159,2935.79922861784,9927.792377623708,4892.998714363067,34.79366326064064
160,2930.0818636479826,9918.166782075872,4883.469772746638,34.69700932923388
161,2934.6979405830093,9926.353113981626,4891.163234305016,35.18987967660996
162,2941.506081538096,9938.28503645638,4902.510135896827,35.774900559553316
163,2936.6819576334487,9930.224497671392,4894.469929389082,35.754568282310174
164,2942.3456707616606,9940.182204448938,4903.909451269435,36.272753179503525
165,2944.775762065671,9944.576599601081,4907.959603442786,36.61699615829548
166,2949.621309974271,9953.09689174467,4916.035516623785,37.061375120884804
167,2960.832203277573,9972.433080915875,4934.720338795955,37.71274211991931
168,2959.3794537218832,9970.191358145334,4932.299089536472,37.89226860886174
169,2954.921631950903,9962.829058991958,4924.869386584838,37.9596724071198
170,2949.6694143993846,9954.092352134872,4916.1156906656415,37.97666146923075
171,2944.860597257667,9946.091810391406,4908.100995429445,37.990814961961405
172,2944.406524696268,9945.542088453121,4907.344207827114,38.197880626007645
173,2946.4161904208604,9949.212529605647,4910.693650701434,38.518878904213125
174,2948.047134148136,9952.231758424607,4913.411890246894,38.81986817771303
175,2952.928321084389,9960.799309191058,4921.547201807315,39.25210738374244
176,2953.005109392286,9961.158645735932,4921.675182320477,39.483463415454935
177,2961.6021865954845,9976.024620478322,4936.003644325808,40.02097615251387
178,2960.0349848906853,9973.589250331244,4933.391641484476,40.19760884676816
179,2976.18246072566,10001.162684010806,4960.304101209434,40.858582801371995
180,2979.908992181784,10007.67043542579,4966.514986969641,41.155448456150225
181,2974.8048654524496,9999.295006126735,4958.008109087416,41.28689703931832
182,2968.440291233004,9988.76410359328,4947.40048538834,41.363618204939485
183,2971.306054776131,9993.841180513677,4952.176757960218,41.66442255345828
184,2969.9783988258155,9991.824009852999,4949.963998043026,41.860011809973
185,2974.2225605265553,9999.225293235815,4957.037600877592,42.1876923582231
186,2977.0389211631214,10004.205083198578,4961.731535271869,42.473547926709216
187,2976.605323727187,10003.702307573356,4961.008872878646,42.69343469471005
188,2971.56844874659,9995.426346841472,4952.614081244317,42.81226559715469
189,2962.579128634234,9980.423741556175,4937.631881057057,42.79186049911732
190,2959.934637859421,9976.15835128447,4933.224396432369,42.933954852101124
191,2965.008750993586,9985.003709567914,4941.681251655977,43.32245791193782
192,2966.2786024912043,9987.38511073645,4943.797670818674,43.587439917775555
193,2958.897384811346,9975.07908782192,4931.495641352243,43.583446469676346
194,2959.922411493369,9977.050803606982,4933.204019155615,43.84678445136706
195,2962.2043097310825,9981.157047872985,4937.007182885138,44.14986498784674
196,2956.9726025633045,9972.487859196552,4928.287670938841,44.20018825771058
197,2957.881864185695,9974.264211342956,4929.803106976159,44.46110436679646
198,2958.2262332558466,9975.078635422224,4930.377055426411,44.70157999581261
199,2951.4716270736994,9963.792210093008,4919.119378456166,44.6728316368426
200,2953.5843813855226,9967.626363703124,4922.640635642538,44.98572806058655
201,2956.8988885992403,9973.503880911918,4928.164814332067,45.33906657985062
202,2963.3107765298687,9984.633995429747,4938.851294216448,45.78270121329933
203,2969.562848616206,9995.458777744143,4949.271414360343,46.18736338379949
204,2961.3919590243563,9981.83181380963,4935.653265040594,46.17854876903493
205,2955.842629886731,9972.617864557418,4926.404383144552,46.213481412865804
206,2958.8889249641966,9978.03273179574,4931.481541606994,46.55119018874575
207,2961.9309587706666,9983.432465445148,4936.551597951111,46.880867494037375
208,2964.9836021322644,9988.842333266612,4941.639336887108,47.20299637950393
209,2987.918421742571,10027.74830038844,4979.864036237618,47.88426415082267
210,2991.3319186521235,10033.69536191126,4985.553197753539,48.14216415771989
211,2998.1333466869964,10045.289285346078,4996.888911144994,48.40037420108365
212,3003.8592564778014,10055.056029329146,5006.432094129669,48.623935199476364
213,3007.775182003221,10061.791927809618,5012.958636672035,48.83329113758282
214,3005.8792617720183,10058.871139323292,5009.798769620031,49.07236970326085
215,3010.4454661842665,10066.678796204744,5017.409110307111,49.26968589763237
216,3005.7959640358986,10059.189335393845,5009.659940059832,49.529395334013316
217,3004.3726443064065,10057.051469134753,5007.287740510677,49.763728624075156
218,3001.4576334440426,10052.428503998719,5002.429389073404,49.99911492531464
219,3001.9491572073143,10053.475323356097,5003.248595345524,50.226728010572515
220,3015.8783483198713,10076.81576114977,5026.4639138664525,50.35184728331751
221,3004.6364636356366,10058.403420816427,5007.727439392728,50.67598142369843
222,3008.7632197993526,10065.486657480924,5014.605366332255,50.881291148669334
223,2999.0742932902854,10049.598350884746,4998.457155483809,51.14119540093634
224,2996.244911322103,10045.105502916043,4993.741518870172,51.3639840458718
225,3002.777547828053,10056.224206894974,5004.629246380088,51.594960514886225
226,3003.1636098398217,10057.094999103989,5005.27268306637,51.8223160376192
227,2996.697293586467,10046.545736382146,4994.495489310779,52.05024707136727
228,2992.4132613220277,10039.614527434813,4987.355435536713,52.25909189809954
229,2996.4833013180137,10046.64509504533,4994.138835530023,52.50625951530765
230,2992.1094337910718,10039.562806075399,4986.849056318453,52.71374975694562
231,2993.4050497938756,10041.958310669428,4989.008416323126,52.949894346302244
